#size_kb,s64,s128,s256,s512,s1024,s2048,s4096,s8192
4,1.807,2.365,2.333,3.292,5.083,8.500,15.000,NaN
8,1.578,1.849,2.146,2.375,3.458,5.917,9.500,15.667
12,1.550,1.667,1.910,2.028,2.722,3.833,8.333,20.000
16,1.542,1.609,1.797,2.094,2.375,3.125,5.250,8.833
20,1.494,1.581,1.700,2.000,2.533,3.100,4.600,8.833
24,1.494,1.535,1.663,1.896,2.333,2.667,4.278,6.556
28,1.485,1.512,1.574,1.833,2.262,2.452,3.952,6.333
32,1.473,1.465,1.604,1.797,2.094,2.750,3.125,5.250
36,1.464,1.505,1.593,1.745,2.065,2.630,3.111,6.083
40,1.495,1.472,1.571,1.742,2.067,2.433,3.533,4.733
44,1.469,1.454,1.544,1.689,1.977,2.591,3.273,4.467
48,1.455,1.493,1.550,1.694,1.917,2.333,2.694,4.056
52,1.472,1.514,1.566,1.705,1.872,2.372,2.974,3.722
56,1.476,1.510,1.552,1.646,1.982,2.345,2.714,4.286
60,1.452,1.490,1.560,1.675,1.861,2.189,2.978,3.762
64,1.466,1.510,1.518,1.646,1.922,2.208,2.792,3.208
68,1.462,1.480,1.539,1.625,1.809,2.167,2.392,3.208
72,1.483,1.498,1.530,1.583,1.764,2.083,2.630,3.222
76,1.470,1.488,1.514,1.636,1.759,2.114,2.596,2.926
80,1.456,1.490,1.517,1.660,1.783,2.133,2.500,3.433
84,1.467,1.469,1.497,1.605,1.762,1.976,2.381,2.900
88,1.475,1.472,1.489,1.578,1.758,1.909,2.394,3.273
92,1.462,1.468,1.523,1.572,1.645,1.935,2.246,2.818
96,1.461,1.480,1.528,1.573,1.747,1.951,2.417,2.861
100,1.476,1.478,1.518,1.545,1.703,1.973,2.293,2.694
104,1.460,1.481,1.478,1.583,1.708,1.962,2.231,3.000
108,1.452,1.484,1.522,1.574,1.694,1.846,2.309,2.487
112,1.457,1.486,1.500,1.579,1.696,1.946,2.298,2.548
116,1.453,1.466,1.515,1.513,1.641,1.839,2.276,2.667
120,1.460,1.684,1.668,1.715,1.853,1.894,2.156,2.911
124,1.703,1.674,1.720,1.766,1.844,2.048,2.624,3.333
128,1.667,1.714,1.693,1.742,1.865,1.964,2.323,2.958
132,1.646,1.645,1.694,1.707,1.773,1.934,2.212,2.667
136,1.700,1.690,1.703,1.725,1.814,1.961,2.304,3.255
140,1.540,1.770,1.674,1.718,1.814,2.010,2.305,2.627
144,1.647,1.494,1.738,1.700,1.822,1.972,2.306,2.926
148,1.460,1.470,1.492,1.535,1.617,1.725,2.027,2.370
152,1.453,1.468,1.478,1.552,1.618,1.772,2.061,2.526
156,1.450,1.472,1.482,1.538,1.630,1.786,2.111,2.351
160,1.455,1.465,1.456,1.540,1.619,1.792,1.992,2.533
164,1.474,1.478,1.487,1.540,1.587,1.732,2.065,2.333
168,1.488,1.468,1.502,1.527,1.597,1.706,2.016,2.270
172,1.461,1.470,1.471,1.547,1.634,1.833,2.047,2.317
176,1.459,1.467,1.475,1.521,1.564,1.742,1.955,2.485
180,1.456,1.459,1.494,1.539,1.598,1.689,1.926,2.273
184,1.452,1.454,1.483,1.523,1.598,1.667,2.007,2.464
188,1.455,1.456,1.478,1.531,1.592,1.713,1.943,2.174
192,1.453,1.457,1.470,1.516,1.589,1.625,1.917,2.222
196,1.462,1.465,1.470,1.528,1.582,1.765,1.986,2.194
200,1.452,1.460,1.484,1.503,1.578,1.690,1.920,2.187
204,1.456,1.470,1.502,1.519,1.577,1.742,1.987,2.040
208,1.460,1.466,1.460,1.534,1.572,1.696,1.936,2.372
212,1.458,1.460,1.478,1.506,1.580,1.676,1.887,2.051
216,1.454,1.459,1.479,1.505,1.559,1.657,1.852,2.259
220,1.459,1.459,1.482,1.516,1.574,1.673,1.879,2.198
224,1.454,1.461,1.475,1.509,1.560,1.652,1.821,2.238
228,1.464,1.453,1.482,1.499,1.579,1.655,1.889,2.131
232,1.463,1.469,1.473,1.501,1.579,1.661,1.856,2.287
236,1.452,1.466,1.481,1.499,1.569,1.661,1.814,2.069
240,1.454,1.465,1.483,1.500,1.546,1.636,1.828,2.211
244,1.460,1.461,1.472,1.507,1.551,1.661,1.820,2.022
248,1.464,1.467,1.470,1.499,1.546,1.683,1.823,2.075
252,1.459,1.458,1.473,1.510,1.534,1.611,1.847,2.054
256,1.458,1.456,1.472,1.492,1.557,1.661,1.854,2.156
